player,team,position,age,games,minutes,percentage of team minutes,usage percent,turnover per pocession,free throw attempts,free throw percent,2 point shots attempts,2 point shots percentage,3 point shots attempts,3 point shots percentage,true shooting percentage,points per game,rebounds pergame,true rebound percentage,assists per game,percentage of team assists,steals per game,blocks per game,versatility index
Quincy Acy,Tor,SF,23,7,8.5,15.3,14.9,0.102,8,0.625,9,0.444,5,0.4,0.542,2.7,2.1,14.7,0.6,10.3,0.57,0.43,7.1
Quincy Acy,Sac,SF,23,56,13.9,28.6,9.9,0.16,45,0.667,117,0.496,10,0.2,0.518,2.7,3.6,14.5,0.4,4.5,0.34,0.41,4.5
Steven Adams,Okc,C,20,81,14.6,30.2,11.8,0.225,136,0.581,185,0.503,0,0,0.541,3.3,4.1,15.8,0.5,5.1,0.49,0.7,5.2
Jeff Adrien,Cha,PF,27,25,10.1,20.3,10.8,0.136,25,0.52,40,0.55,0,0,0.559,2.3,3.5,19.7,0.3,4.2,0.28,0.6,5.3
Jeff Adrien,Mil,PF,27,28,25,50.6,19.9,0.101,94,0.67,235,0.515,0,0,0.552,10.9,7.8,17.9,1.1,7.8,0.61,0.75,7.3
Arron Afflalo,Orl,SG,28,73,34.8,71.3,23.4,0.112,336,0.815,711,0.473,300,0.427,0.574,18.2,3.6,5.8,3.4,17,0.48,0.04,7
Alexis Ajinca,Nor,C,25,56,16.8,34.5,16.5,0.184,67,0.836,249,0.546,1,0,0.587,5.9,4.9,17.1,0.7,6.7,0.41,0.82,6.5
Cole Aldrich,Nyk,C,25,46,6.9,14.2,13.4,0.195,30,0.867,61,0.541,0,0,0.62,2,2.8,23.7,0.3,6.6,0.17,0.65,6.9
LaMarcus Aldridge,Por,PF,28,69,36,74.3,29.9,0.072,360,0.822,1408,0.461,15,0.2,0.507,23.2,11.1,16.6,2.6,13.1,0.93,1,9.7
Lavoy Allen,Phi,PF,24,51,18.7,38.3,14.4,0.127,40,0.675,252,0.456,13,0.154,0.465,5.2,5.4,15.7,1.3,10.4,0.43,0.53,7.1
Lavoy Allen,Ind,PF,24,14,7.8,15.7,17.9,0.094,10,0.6,34,0.5,0,0,0.521,2.9,2.4,17.6,0.4,9.4,0.14,0.43,7.2
Ray Allen,Mia,SG,38,73,26.3,54.2,16.9,0.123,116,0.905,234,0.53,309,0.375,0.59,9.6,2.8,6.7,2,11.2,0.74,0.1,5.7
Tony Allen,Mem,SG,32,55,23.1,47.6,20.2,0.162,121,0.628,366,0.527,47,0.234,0.531,9,3.8,9.7,1.7,11.8,1.64,0.35,6.7
Al-Farouq Aminu,Nor,SF,23,80,25.4,52.4,14.4,0.137,137,0.664,446,0.496,48,0.271,0.516,7.2,6.2,14.2,1.4,8.4,1.03,0.46,6.2
Louis Amundson,Nor,PF,31,18,10,20,14.3,0.248,24,0.25,32,0.5,0,0,0.446,2.1,3.1,17.7,0.3,4.8,0.5,0.61,5
Chris Andersen,Mia,C,35,72,19.2,39.5,13.9,0.132,169,0.71,263,0.662,12,0.25,0.683,6.6,5.3,17.2,0.3,2.1,0.44,1.35,4.6
Alan Anderson,Bro,SF,31,78,22.6,46.5,16,0.104,118,0.78,237,0.464,248,0.339,0.525,7.2,2.2,6,1,7.3,0.62,0.14,4.4
James Anderson,Phi,SG,24,80,28.6,59.1,16.1,0.122,106,0.726,366,0.53,351,0.328,0.53,10.1,3.8,7.1,1.9,10.1,0.93,0.35,5.8
Ryan Anderson,Nor,PF,25,22,35.9,72.5,23.1,0.05,62,0.952,190,0.463,164,0.409,0.572,19.8,6.4,10.4,0.8,3.7,0.45,0.32,5.2
Giannis Antetokounmpo,Mil,SF,19,77,24.4,50.4,15.1,0.194,202,0.683,300,0.44,118,0.347,0.518,6.8,4.4,10.3,1.9,12.2,0.78,0.79,6.3
Carmelo Anthony,Nyk,PF,29,77,38.5,79.5,32.6,0.095,541,0.848,1229,0.469,415,0.402,0.561,27.4,8.1,12.3,3.1,15.7,1.25,0.66,9.2
Joel Anthony,Bos,C,31,21,6.9,14.2,9.4,0.065,6,0.333,26,0.385,0,0,0.384,1,1.5,12.2,0.1,2,0.14,0.38,3.1
Pero Antic,Atl,PF,31,50,18.3,37.6,18.8,0.145,66,0.758,123,0.545,171,0.327,0.545,7,4.2,13.2,1.2,10.1,0.38,0.24,7.2
Trevor Ariza,Was,SF,28,77,35.1,71.8,17.9,0.123,193,0.772,411,0.509,442,0.407,0.59,14.4,6.2,10.2,2.5,10.9,1.64,0.26,6.9
Hilton Armstrong,Gol,C,29,15,6.3,12.6,14.9,0.187,16,0.438,19,0.474,0,0,0.48,1.7,3.1,27.2,0.3,7.4,0.27,0.27,7.4
Darrell Arthur,Den,SF,25,68,16.9,35,18.3,0.117,62,0.855,346,0.399,64,0.375,0.459,5.9,3.1,9.9,0.9,8.1,0.57,0.69,6
Omer Asik,Hou,C,27,48,20,41.1,13.9,0.194,126,0.619,190,0.532,0,0,0.57,5.8,7.9,22,0.6,4.1,0.29,0.77,6
D.J. Augustin,Tor,PG,26,10,8,14.9,20.3,0.253,6,1,13,0.462,11,0.091,0.394,2.1,0.4,2.9,1,18.9,0.1,0,4.7
D.J. Augustin,Chi,PG,26,61,30.2,61.9,22.7,0.128,221,0.882,373,0.426,321,0.411,0.574,14.9,2.1,3.9,5,29.6,0.85,0.05,7.1
Gustavo Ayon,Atl,C,28,26,16.3,33.2,15,0.207,20,0.4,102,0.51,0,0,0.505,4.3,4.8,17.1,1.1,10.2,0.96,0.38,6.9
Jeff Ayres,San,PF,26,73,12.9,26.7,12.6,0.241,55,0.691,174,0.58,0,0,0.605,3.3,3.5,15.4,0.8,8.7,0.18,0.34,6.5
Chris Babb,Bos,SG,23,14,9.2,18.9,11.4,0.091,0,0,3,0.667,27,0.222,0.367,1.6,1.2,7.5,0.2,3.3,0.43,0,3.2
Luke Babbitt,Nor,PF,24,27,17.4,35.2,17.1,0.085,18,0.778,59,0.407,95,0.379,0.525,6.3,3.3,10.9,1.1,9.5,0.26,0.41,6.5
Leandro Barbosa,Pho,PG,31,20,18.1,37.2,20.3,0.114,39,0.795,106,0.462,25,0.28,0.506,7.5,1.9,5.7,1.6,13.6,0.35,0.2,6.3
Jose Barea,Min,PG,29,79,18.4,38.1,24.1,0.15,100,0.79,425,0.426,231,0.316,0.471,8.4,1.9,5.8,3.8,33.2,0.33,0,8.5
