"Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
293.15,0,0,0,0.022831,0.18346,0.0062824,0.00097191,0.80929,143,143,0,5.75,0
403.61,-3.2215,0.5116,-15.335,0.022525,0.15521,0.0051343,0.00088394,0.83877,706,706,0,5.362,0
403.61,-3.2602,-0.055345,-15.335,0.022526,0.15521,0.0051343,0.00088394,0.83877,3173,3173,-0.9311,5.2805,0
293.15,0,0,0,0.022831,0.18346,0.0062824,0.00097191,0.80929,1829,1829,-0.99848,5.6626,0
293.15,0,0,0,0.020114,0.18188,0.0060259,0.001025,0.81107,6566,6566,0,5.75,-0.28798
408.49,-3.5534,0.38938,-16.328,0.020031,0.15261,0.0048608,0.00092823,0.8416,6690,6690,0,5.362,-0.28798
408.49,-3.5661,-0.2334,-16.328,0.020032,0.15261,0.0048608,0.00092822,0.84161,7000,7000,-0.9311,5.2805,-0.28798
293.15,0,0,0,0.020115,0.18188,0.0060258,0.001025,0.81107,6966,6966,-0.99848,5.6626,-0.28798
403.6,-3.2002,-0.62017,-15.336,0.022526,0.15521,0.0051343,0.00088392,0.83877,3174,3174,-1.8339,5.0386,0
293.15,0,0,0,0.022832,0.18346,0.0062824,0.00097189,0.80929,1828,1828,-1.9666,5.4032,0
408.49,-3.4707,-0.84878,-16.329,0.020032,0.1526,0.0048608,0.0009282,0.84161,7001,7001,-1.8339,5.0386,-0.28798
293.15,0,0,0,0.020115,0.18188,0.0060258,0.001025,0.81107,6968,6968,-1.9666,5.4032,-0.28798
403.6,-3.0437,-1.1661,-15.337,0.022527,0.15521,0.0051344,0.00088388,0.83877,3175,3175,-2.681,4.6436,0
293.15,0,0,0,0.022833,0.18346,0.0062824,0.00097185,0.80929,1827,1827,-2.875,4.9796,0
408.48,-3.2703,-1.4383,-16.33,0.020032,0.1526,0.0048608,0.00092817,0.84161,7002,7002,-2.681,4.6436,-0.28798
293.15,0,0,0,0.020116,0.18188,0.0060259,0.001025,0.81107,6970,6970,-2.875,4.9796,-0.28798
403.6,-2.7955,-1.677,-15.338,0.022528,0.15521,0.0051345,0.00088384,0.83877,3176,3176,-3.4466,4.1075,0
293.15,0,0,0,0.022833,0.18345,0.0062826,0.0009718,0.80929,1826,1826,-3.696,4.4048,0
408.48,-2.9713,-1.9845,-16.331,0.020033,0.1526,0.004861,0.00092813,0.84161,7003,7003,-3.4466,4.1075,-0.28798
293.15,0,0,0,0.020116,0.18188,0.006026,0.0010249,0.81107,6972,6972,-3.696,4.4048,-0.28798
403.6,-2.4628,-2.1379,-15.338,0.022528,0.15521,0.0051347,0.00088381,0.83877,3177,3177,-4.1075,3.4466,0
293.15,0,0,0,0.022834,0.18346,0.0062828,0.00097177,0.80929,1825,1825,-4.4048,3.696,0
408.48,-2.5823,-2.4711,-16.331,0.020033,0.15261,0.0048611,0.00092811,0.84161,7004,7004,-4.1075,3.4466,-0.28798
293.15,0,0,0,0.020116,0.18188,0.0060262,0.0010249,0.81107,6974,6974,-4.4048,3.696,-0.28798
403.6,-2.0546,-2.5343,-15.338,0.022527,0.15521,0.0051349,0.0008838,0.83877,3178,3178,-4.6436,2.681,0
293.15,0,0,0,0.022833,0.18346,0.006283,0.00097175,0.80929,1824,1824,-4.9796,2.875,0
408.48,-2.1143,-2.8829,-16.331,0.020033,0.15261,0.0048613,0.0009281,0.8416,7005,7005,-4.6436,2.681,-0.28798
293.15,0,0,0,0.020116,0.18188,0.0060264,0.0010249,0.81107,6976,6976,-4.9796,2.875,-0.28798
403.6,-1.5831,-2.8531,-15.337,0.022527,0.15521,0.005135,0.00088381,0.83877,3179,3179,-5.0386,1.8339,0
293.15,0,0,0,0.022833,0.18346,0.0062832,0.00097176,0.80928,1823,1823,-5.4032,1.9666,0
408.48,-1.5816,-3.2066,-16.33,0.020033,0.15261,0.0048614,0.00092811,0.8416,7006,7006,-5.0386,1.8339,-0.28798
293.15,0,0,0,0.020116,0.18189,0.0060266,0.0010249,0.81106,6978,6978,-5.4032,1.9666,-0.28798
403.6,-1.0634,-3.0842,-15.336,0.022526,0.15521,0.0051351,0.00088383,0.83877,3180,3180,-5.2805,0.9311,0
293.15,0,0,0,0.022832,0.18346,0.0062833,0.00097178,0.80928,1822,1822,-5.6626,0.99848,0
408.49,-1.0006,-3.4322,-16.329,0.020032,0.15261,0.0048615,0.00092812,0.8416,7007,7007,-5.2805,0.9311,-0.28798
293.15,0,0,0,0.020115,0.18189,0.0060267,0.0010249,0.81106,6980,6980,-5.6626,0.99848,-0.28798
403.61,-0.51163,-3.2212,-15.336,0.022526,0.15521,0.005135,0.00088384,0.83877,3181,3181,-5.362,5.3887e-14,0
293.15,0,0,0,0.022832,0.18346,0.0062833,0.00097179,0.80928,1821,1821,-5.75,4.341e-14,0
408.49,-0.38938,-3.5532,-16.329,0.020032,0.15261,0.0048615,0.00092813,0.8416,7008,7008,-5.362,5.4012e-14,-0.28798
293.15,0,0,0,0.020115,0.18189,0.0060267,0.0010249,0.81106,6982,6982,-5.75,4.3521e-14,-0.28798
403.61,0.055322,-3.2604,-15.336,0.022527,0.15521,0.0051351,0.00088383,0.83877,3182,3182,-5.2805,-0.9311,0
293.15,0,0,0,0.022832,0.18346,0.0062833,0.00097179,0.80928,1820,1820,-5.6626,-0.99848,0
408.49,0.23342,-3.5662,-16.329,0.020032,0.15261,0.0048615,0.00092813,0.8416,7009,7009,-5.2805,-0.9311,-0.28798
293.15,0,0,0,0.020115,0.18189,0.0060267,0.0010249,0.81106,6984,6984,-5.6626,-0.99848,-0.28798
403.6,0.62029,-3.2009,-15.337,0.022527,0.15521,0.0051351,0.00088382,0.83877,3183,3183,-5.0386,-1.8339,0
293.15,0,0,0,0.022833,0.18346,0.0062833,0.00097177,0.80928,1819,1819,-5.4032,-1.9666,0
408.48,0.84893,-3.4712,-16.33,0.020033,0.15261,0.0048615,0.00092811,0.8416,7010,7010,-5.0386,-1.8339,-0.28798
293.15,0,0,0,0.020116,0.18189,0.0060267,0.0010249,0.81106,6986,6986,-5.4032,-1.9666,-0.28798
403.6,1.1666,-3.0451,-15.338,0.022528,0.15521,0.0051351,0.0008838,0.83877,3184,3184,-4.6436,-2.681,0
293.15,0,0,0,0.022834,0.18346,0.0062832,0.00097175,0.80929,1818,1818,-4.9796,-2.875,0
408.48,1.4388,-3.2715,-16.331,0.020033,0.15261,0.0048615,0.0009281,0.8416,7011,7011,-4.6436,-2.681,-0.28798
293.15,0,0,0,0.020116,0.18188,0.0060267,0.0010249,0.81106,6988,6988,-4.9796,-2.875,-0.28798
403.6,1.6783,-2.7974,-15.338,0.022528,0.15521,0.005135,0.0008838,0.83877,3185,3185,-4.1075,-3.4466,0
293.15,0,0,0,0.022834,0.18346,0.0062832,0.00097175,0.80929,1817,1817,-4.4048,-3.696,0
408.48,1.9857,-2.9728,-16.331,0.020033,0.15261,0.0048615,0.00092809,0.8416,7012,7012,-4.1075,-3.4466,-0.28798
